Player ID    | Hands  | Profit   | VPIP  | SB Push% | BB Call% | Classification
----------------------------------------------------------------------------------------
13268363     | 17819  | 388.1    | 34.0% | 51.1   % | 31.3   % | UNDER-PUSH SB, OVER-FOLD BB
13082001     | 6186   | -325.4   | 40.5% | 57.0   % | 38.1   % | UNDER-PUSH SB, OVER-FOLD BB
13386305     | 5997   | 96.4     | 32.3% | 42.7   % | 33.7   % | UNDER-PUSH SB, OVER-FOLD BB
11016196     | 5062   | -338.9   | 28.3% | 36.0   % | 29.7   % | UNDER-PUSH SB, OVER-FOLD BB
13386498     | 4390   | -197.4   | 33.7% | 43.5   % | 33.6   % | UNDER-PUSH SB, OVER-FOLD BB
13276158     | 4075   | -21.4    | 29.7% | 45.3   % | 25.3   % | UNDER-PUSH SB, OVER-FOLD BB
13352580     | 3798   | -311.3   | 30.0% | 37.2   % | 32.9   % | UNDER-PUSH SB, OVER-FOLD BB
13337673     | 3797   | 103.1    | 31.4% | 43.9   % | 30.2   % | UNDER-PUSH SB, OVER-FOLD BB
13082796     | 3666   | -13.6    | 29.9% | 38.7   % | 29.8   % | UNDER-PUSH SB, OVER-FOLD BB
13323436     | 3523   | -178.3   | 33.9% | 50.2   % | 34.7   % | UNDER-PUSH SB, OVER-FOLD BB
13308748     | 3032   | -265.8   | 32.5% | 42.9   % | 30.8   % | UNDER-PUSH SB, OVER-FOLD BB
8994464      | 2541   | -78.9    | 29.1% | 35.7   % | 31.9   % | UNDER-PUSH SB, OVER-FOLD BB
13038175     | 2152   | -182.4   | 37.6% | 47.4   % | 34.2   % | UNDER-PUSH SB, OVER-FOLD BB
13126155     | 2112   | 172.0    | 37.0% | 43.2   % | 36.6   % | UNDER-PUSH SB, OVER-FOLD BB
